plant;Betrieb
subsidiary;Tochterunternehmen
begin operation;den Betrieb aufnehmen
found a company;ein Unternehmen grnden
set up an enterprise;ein Unternehmen einrichten
diversify into;ver„ndern in
merge with;verschmelzen mit
contribution;Beitrag
deliver;liefern
assemble something;etwas aufbauen
assembly;Versammlung
final assembly;Endmontage
to employ;jemanden besch„ftigen
employee;Arbeitsnehmer
to establish;herstellen
on average;im Durchschnitt
manufacturer;Produzent
the largest manufacturer in the world;der gr”áte Produzent der Welt
to establish a lead over sb.;ein Fhrung herstellen
competitor;Konkurrent
competitive;wettbewerbsf„hig
head office;Zentrale
headquarters;Hauptsitz
turnover;Umsatz
to expand rapdidly;
to grow quickly;schnell wachsen
sales and marketing;Vertrieb
department;Abteilung
I work in the sales department.;Absatzabteilung
I work in sales.;ich arbeite im Vertrieb
to be located in?;ans„ssig in
aktiviert;enable
deaktiviert;disable
Ger„te;devices
Anfrage;request
Datenmenge;traffic
Nachricht;message
Einheit;unit
Speicher;memory
steuern;control
Geschwindigkeit;speed
Zugang;access
gleich;equal
Betriebssystem;operating system
Daten;data
sichern;save
Festplatte;hard drive
Tastatur;keyboard
Maus;mouse
Drucker;printer
